rank,country,region,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption
1,Finland,Western Europe,7.764,1.892,1.581,0.952,0.67,0.186,0.498
2,Iceland,Western Europe,7.701,1.874,1.611,0.959,0.662,0.269,0.512
3,Denmark,Western Europe,7.688,1.887,1.562,0.948,0.665,0.211,0.495
4,Costa Rica,Latin America and Caribbean,7.439,1.254,1.421,0.891,0.631,0.178,0.312
5,Sweden,Western Europe,7.401,1.878,1.501,0.952,0.658,0.224,0.481
6,Norway,Western Europe,7.392,1.959,1.553,0.952,0.661,0.21,0.491
7,Netherlands,Western Europe,7.319,1.877,1.488,0.942,0.642,0.267,0.411
8,Israel,Middle East and North Africa,7.234,1.803,1.521,0.905,0.599,0.144,0.311
9,Luxembourg,Western Europe,7.228,2.096,1.502,0.94,0.649,0.181,0.432
10,Switzerland,Western Europe,7.201,1.993,1.551,0.961,0.647,0.271,0.43
11,Australia,North America and ANZ,7.181,1.821,1.531,0.931,0.648,0.252,0.401
12,Mexico,Latin America and Caribbean,6.972,1.201,1.381,0.812,0.594,0.142,0.198
13,New Zealand,North America and ANZ,6.948,1.771,1.541,0.941,0.641,0.282,0.411
14,Germany,Western Europe,6.941,1.876,1.461,0.943,0.621,0.181,0.381
15,Canada,North America and ANZ,6.931,1.841,1.521,0.941,0.648,0.252,0.421
16,Kosovo,Central and Eastern Europe,6.91,1.021,1.298,0.782,0.571,0.212,0.251
17,Austria,Western Europe,6.905,1.881,1.471,0.946,0.621,0.181,0.361
18,Belgium,Western Europe,6.894,1.851,1.451,0.941,0.611,0.141,0.351
19,Czechia,Central and Eastern Europe,6.888,1.671,1.421,0.921,0.611,0.161,0.341
20,Slovenia,Central and Eastern Europe,6.871,1.631,1.431,0.931,0.621,0.171,0.381
21,United Arab Emirates,Middle East and North Africa,6.851,1.941,1.421,0.901,0.661,0.222,0.391
22,Saudi Arabia,Middle East and North Africa,6.831,1.851,1.381,0.861,0.641,0.131,0.301
23,United States,North America and ANZ,6.816,1.941,1.461,0.891,0.591,0.181,0.291
24,Ireland,Western Europe,6.811,2.011,1.511,0.941,0.641,0.221,0.421
25,United Kingdom,Western Europe,6.694,1.821,1.461,0.931,0.621,0.271,0.361
26,Taiwan,East Asia,6.681,1.821,1.431,0.881,0.611,0.251,0.311
27,France,Western Europe,6.586,1.851,1.431,0.932,0.571,0.131,0.311
28,Poland,Central and Eastern Europe,6.541,1.631,1.401,0.891,0.581,0.141,0.291
29,Estonia,Central and Eastern Europe,6.521,1.681,1.381,0.921,0.601,0.181,0.381
30,Lithuania,Central and Eastern Europe,6.498,1.651,1.351,0.881,0.591,0.141,0.271
31,Slovakia,Central and Eastern Europe,6.481,1.611,1.371,0.901,0.571,0.131,0.261
32,Latvia,Central and Eastern Europe,6.421,1.591,1.341,0.871,0.561,0.121,0.251
33,Spain,Western Europe,6.401,1.771,1.421,0.951,0.561,0.121,0.281
34,Italy,Western Europe,6.381,1.781,1.391,0.961,0.521,0.101,0.241
35,Romania,Central and Eastern Europe,6.351,1.511,1.321,0.871,0.541,0.111,0.211
36,Serbia,Central and Eastern Europe,6.301,1.411,1.311,0.881,0.511,0.131,0.201
